,item_name,item_EnsTP_score
0,potato,14.362069
1,apple,13.79528
2,north-american,12.0389
3,cream-cheese,11.821811
4,bread,11.699253
5,vegetable,10.996101
6,pasta,10.849531
7,chicken,10.804556
8,strawberry,10.723209
9,meat,10.477688
10,rice,10.177403
11,easy,9.831432
12,peanut,9.548587
13,low-cholesterol,9.240281
14,turkey,9.157757
15,sausage,8.976528
16,low-protein,8.929404
17,few-steps-recipe,8.841438
18,spinach,8.643583
19,italian,8.60374
20,beef,8.486125
21,pork,8.336182
22,few-ingredients-recipe,8.240281
23,olive,8.002019
24,american,7.68757
25,dessert,7.573292
26,bacon,7.382606
27,orange,7.360175
28,low-calorie,7.353263
29,cheese,7.329809
30,low-carb,7.312706
31,main-dish,7.103199
32,pumpkin,6.821192
33,pineapple,6.725133
34,banana,6.453121
35,broccoli,6.436149
36,tomato,6.342502
37,seafood,6.153733
38, pot-roast,5.944552
39,beginner-cook,5.488806
40,side-dishes,5.231464
41,appetizer,5.222205
42,salmon,5.143355
43, pot-roast,4.749719
44,holiday-food,4.749719
45,shredded-meat,4.749719
46,inexpensive,4.446793
47,pecan,4.442823
48,coconut,4.366728
49,european,4.215773
50,couscous,4.215773
51,almond,4.147268
52,carrot,4.147152
133,chinese,4.030218
53,cheesecake,4.024694
54,poultry,3.896198
55,parmesan,3.892398
56,kid-friendly,3.843477
57,eggs-dairy,3.757723
58,6-people-or-more,3.730353
59,tortilla,3.627301
60,thermomix,3.623242
61,soy,3.604854
62,casserole,3.360432
63,spaghetti,3.314883
64,celery,3.016669
65,duch-oven,3.016669
66,one-dish-meal,2.927408
67,southern-united-states,2.889487
69,cornstarch,2.871511
68,4-hours-or-more,2.871025
70,ham,2.784014
71,for-large-groups,2.730353
72,pudding,2.703543
73,cheddar,2.678994
74,shellfish,2.568609
75,cookies-and-brownies,2.350928
76,quick-breads,2.345372
77,mayonnaise,2.339408
78,batter,2.321358
79,loaf,2.308872
80,blueberry,2.209107
81,soups-stews,2.163027
82,stove-top,2.09093
83,walnut,2.081632
84,tuna,2.074781
85,cranberry,2.067826
86,oat,2.054038
87,cornmeal,2.048698
88,noodle,2.044637
89,saltwater-fish,1.982266
90,cherry,1.981287
92,cilantro,1.977097
91,fried,1.977097
93,salsa,1.903099
94,zucchini,1.901097
95,tropical-fruit,1.891417
96,wheat,1.867726
97,ground-beef,1.858344
98,snack,1.753237
99,mozzarella,1.697631
100,cocoa,1.624354
101,soy-sauce,1.604854
102,yogurt,1.594046
103,raspberry,1.574849
104,mixer,1.545626
105,pies-and-tarts,1.545452
106,thanksgiving,1.544505
107,macaroni,1.471258
108,served-hot,1.435575
109,chicken-breasts,1.381479
110,penne,1.354249
111,cabbage,1.339262
112,pea,1.330161
113,pork-sausage,1.325628
114,midwestern,1.321991
115,cajun,1.311711
116,breadcrumb,1.311711
117,marinated,1.311711
118,weeknight,1.278498
119,smoothie,1.26019
120,canadian,1.234878
121,potluck,1.234643
122,cauliflower,1.234331
123,peach,1.22883
124,southwestern-united-states,1.227617
125,high-protein,1.220557
126,served-cold,1.184274
127,chowder,1.159507
128,jalapeno,1.093152
129,lasagna,1.088478
130,chilies,1.079288
131,feta,1.078591
132,easter,1.030218
134,cucumber,1.001857
135,northeastern-united-states,0.97633
136,meatball,0.971725
137,caramel,0.963371
138,small-appliance,0.956805
139,citrus,0.941359
140,floret,0.892859
141,asparagus,0.892092
142,lettuce,0.877768
143,black-bean,0.864448
144,toddler-friendly,0.843029
145,cornbread,0.819618
146,rolls-biscuits,0.787588
147,semi-sweet,0.781269
148,blender,0.780179
149,coffee,0.728427
150,pork-chops,0.72505
151,tart,0.721968
152,avocado,0.721687
153,brownie,0.704069
154,marshmallow,0.698455
155,white-rice,0.696727
156,crock-pot-slow-cooker,0.670064
157,tenderloin,0.670045
158,burger,0.669205
159,crabmeat,0.668054
160,oatmeal,0.663555
161,yolk,0.655869
162,meatloaf,0.626366
163,less-than-one-hour,0.613904
164,applesauce,0.608851
165,artichoke,0.608326
166,refrigerator,0.605536
168,mandarin,0.59838
169,gravy,0.586639
170,salad-dressings,0.57974
171,caribbean,0.579646
172,electric-equipments,0.578071
173,stir-fry,0.572228
174,loin,0.568317
175,creole,0.55869
176,tex-mex,0.55242
177,springform,0.551506
178,enchilada,0.533131
179,fettuccine,0.527867
180,cob,0.526534
181,egg-free,0.521491
182,roast-beef,0.520548
183,finger-food,0.519524
184,south-west-pacific,0.514211
185,linguine,0.514095
186,elbow-macaroni,0.511393
187,lentil,0.496858
188,pork-loins,0.479025
189,cream-style,0.47165
190,high-calcium,0.462162
191,biscuit,0.454654
192,bouillon,0.453387
193,popcorn,0.451717
194,bun,0.45092
195,cod,0.450057
196,brown-rice,0.445826
197,cupcake,0.435952
198,orzo,0.416089
199,mash,0.41401
200,rhubarb,0.408209
201,jell,0.396764
202,basmati,0.394325
203,yam,0.390667
204,marmalade,0.387835
205,green-yellow-beans,0.387643
206,krispies,0.385051
209,refrigerate,0.380592
208,maraschino,0.380461
210,russet,0.380197
211,half-an-hour,0.37617
212,heirloom-historical,0.374941
213,long-grain,0.370592
214,saucepan,0.369229
215,chorizo,0.368299
216,apricot,0.363172
217,chive,0.361917
218,scone,0.344697
219,tilapia,0.343204
220,halibut,0.34145
221,coffee-cakes,0.338805
222,leek,0.335456
223,sourdough,0.335242
224,coriander,0.334642
225,pancake,0.330352
226,pasta-shells,0.323514
227,bran,0.322861
228,frozen-desserts,0.321353
229,tofu,0.311482
230,wing,0.306354
231,chicken-thighs-legs,0.305726
232,maple,0.300001
233,mango,0.296702
234,pear,0.295809
235,pork-ribs,0.294374
236,turkey-breasts,0.293301
237,sun-dried,0.287935
238,risotto,0.283939
239,peanuts,0.276883
240,sweet-potatoes,0.275496
241,dijon,0.272817
167,cooking-wine,0.259838
242,tea,0.253697
243,eggplant,0.253436
244,savory-sauces,0.252775
245,beef-sausage,0.252613
246,velveeta,0.251287
247,pine,0.243381
248,pilaf,0.239341
249,yukon,0.239233
250,wok,0.235656
251,hawaiian,0.226122
252,scallion,0.218769
253,whole-chicken,0.215275
254,pepperoni,0.212349
255,marinara,0.208353
256,goat cheese,0.204938
257,kielbasa,0.202927
258,toothpick,0.20155
259,roma,0.187157
260,patty,0.183553
261,sweet-corn,0.175496
262,shallot,0.173072
263,andouille,0.168988
264,tidbit,0.166894
265,pot-roast,0.163027
266,pitted-fruit,0.16011
267,phyllo,0.158501
268,pretzel,0.155914
269,peanut-butter,0.14867
270,chickpeas,0.136766
271,indian,0.135839
272,vinaigrette,0.135681
273,amaretto,0.130089
274,eel,0.127697
275,florentine,0.12425
276,grapefruit,0.115052
277,german,0.100998
278,sunflower,0.091915
279,quiche,0.083068
280,macaroon,0.082117
281,bisques-cream-soups,0.079897
282,hard-boiled,0.073099
283,beans,0.0722
284,lemongrass,0.064495
285,macadamia,0.062136
286,australian,0.050763
287,granola,0.045518
207,raw-fish,0.009461
